test_date,primary,cohort_name,n_members,window_start,window_end,intra_corr_1y,pc1_variance_pct,p_independence_intra,p_random_basket_intra,p_random_basket_pc1,n_permutations,holdout_window,train_intra,test_intra,train_pc1_pct,test_pc1_pct,stability_ratio,threshold_stable_width,threshold_stable_ranges,definition_date,oos_start,oos_end,oos_obs,oos_intra,oos_pc1_pct,oos_vs_insample_ratio,p_oos_random_basket,oos_verdict,p_vol_matched_intra,p_vol_matched_pc1
2026-05-13,CRWD,Platform cyber,3,2025-04-30,2026-04-30,0.6878,79.22,,0.0,0.0,1000,2y,0.6504,0.6875,76.74,79.2,1.057,0.0,none,,,,,,,,,,,
2026-05-13,CRWD,Security control points (SCP),6,2025-04-30,2026-04-30,0.5435,62.41,,0.0,0.0,1000,2y,0.561,0.5433,63.7,62.39,0.9683,0.0,none,,,,,,,,,,,
2026-05-13,RKLB,Space pure-plays,7,2025-05-08,2026-05-08,0.624,67.96,0.0,0.0,0.0,1000,2y,0.452,0.6187,54.6,67.49,1.3688,0.05,0.45-0.50,,,,,,,,,,,
2026-05-13,MU,US Memory,3,2025-05-08,2026-05-08,0.7021,80.15,,0.0,0.0,1000,2y,,0.7014,,80.1,,0.1,0.35-0.45,,,,,,,,,,,
2026-05-13,ASML,WFE quartet,4,2025-04-30,2026-04-30,0.8037,85.33,,0.004,0.003,1000,2y,0.9269,0.8035,94.55,85.31,0.8668,0.0,0.25-0.25,,,,,,,,,,,
2026-05-13,SCHW,Wealth managers basket,4,2025-04-30,2026-04-30,0.5033,64.32,,0.0020325203252032522,0.0020325203252032522,1000,2y,0.8539,0.5031,89.08,64.3,0.5891,0.0,none,,,,,,,,,,,
2026-06-09,NVDA,AI Compute,3,2025-05-08,2026-05-08,0.5635,70.96,,0.0025997400259974,0.0026997300269973002,10000,2y,0.6716,0.5635,78.18,70.96,0.8391,0.0,none,,,,,,,,,,,
2026-06-09,WTW,AI financial disintermediation basket (AIFD),10,2025-04-30,2026-04-30,0.3167,43.87,,0.0098990100989901,0.001999800019998,10000,2y,0.6108,0.3169,65.21,43.96,0.5188,0.0,none,,,,,,,,,,,
2026-06-10,MSFT,AI hyperscalers,5,2025-04-30,2026-04-30,0.2652,41.82,,0.13538646135386462,0.17528247175282471,10000,2y,0.6516,0.2653,72.36,41.82,0.4071,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.2769,43.08,1.0589,0.079192,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,BX,Alternative asset managers basket (ALTM),6,2025-04-30,2026-04-30,0.7641,80.41,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.906,0.7639,92.18,80.4,0.8431,0.15,0.30-0.45,2026-05-03,2026-05-05,2026-06-10,24,0.7388,78.6,0.9597,0.0001,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,ZTS,Animal health,4,2025-04-30,2026-04-30,0.3254,49.91,,0.06469353064693531,0.07779222077792221,10000,2y,0.4056,0.3253,56.79,49.89,0.8019,0.0,none,2026-05-07,2026-05-08,2026-06-10,21,0.462,60.83,1.3748,0.014299,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,WHR,Appliance / housing durables,5,2025-04-30,2026-04-30,0.4676,58.5,,0.0010998900109989002,0.0012998700129987,10000,2y,0.6692,0.4663,74.4,58.41,0.6968,0.0,none,2026-05-07,2026-05-08,2026-06-10,21,0.4478,57.47,0.947,0.008499,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,PWP,Boutique advisory,6,2025-04-30,2026-04-30,0.731,77.7,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.8066,0.7299,83.94,77.6,0.9049,0.05,0.35-0.40,2026-05-03,2026-05-05,2026-06-10,24,0.5302,62.48,0.7328,0.0009,PRELIMINARY OOS-WEAKENED,,
